State,Rate,Min,Max,Fed_Ind
AL,0.0200,0.00,500.00,0
AL,0.0400,500.00,3000.00,0
AL,0.0500,3000.00,-1.00,0
AK,0.0000,0.00,-1.00,0
AZ,0.0259,0.00,10000.00,0
AZ,0.0288,10000.00,25000.00,0
AZ,0.0336,25000.00,50000.00,0
AZ,0.0424,50000.00,150000.00,0
AZ,0.0454,150000.00,-1.00,0
AR,0.0090,0.00,4299.00,0
AR,0.0250,4299.00,8399.00,0
AR,0.0350,8399.00,12599.00,0
AR,0.0450,12599.00,20999.00,0
AR,0.0600,20999.00,35099.00,0
AR,0.0690,35099.00,-1.00,0
CA,0.0100,0.00,7850.00,0
CA,0.0200,7850.00,18610.00,0
CA,0.0400,18610.00,29372.00,0
CA,0.0600,29372.00,40773.00,0
CA,0.0800,40773.00,51530.00,0
CA,0.0930,51530.00,263222.00,0
CA,0.1030,263222.00,315866.00,0
CA,0.1130,315866.00,526443.00,0
CA,0.1230,526443.00,1000000.00,0
CA,0.1330,1000000.00,-1.00,0
CO,0.0463,0.00,-1.00,1
CT,0.0300,0.00,10000.00,0
CT,0.0500,10000.00,50000.00,0
CT,0.0550,50000.00,100000.00,0
CT,0.0600,100000.00,200000.00,0
CT,0.0650,200000.00,250000.00,0
CT,0.0690,250000.00,500000.00,0
CT,0.0699,500000.00,2000.00,0
DE,0.0220,2000.00,5000.00,0
DE,0.0390,5000.00,10000.00,0
DE,0.0480,10000.00,20000.00,0
DE,0.0520,20000.00,25000.00,0
DE,0.0555,25000.00,60000.00,0
DE,0.0660,60000.00,-1.00,0
FL,0.0000,0.00,-1.00,0
GA,0.0100,0.00,750.00,0
GA,0.0200,750.00,2250.00,0
GA,0.0300,2250.00,3750.00,0
GA,0.0400,3750.00,5250.00,0
GA,0.0500,5250.00,7000.00,0
GA,0.0600,7000.00,-1.00,0
HI,0.0140,0.00,2400.00,0
HI,0.0320,2400.00,4800.00,0
HI,0.0550,4800.00,9600.00,0
HI,0.0640,9600.00,14400.00,0
HI,0.0680,14400.00,19200.00,0
HI,0.0720,19200.00,24000.00,0
HI,0.0760,24000.00,36000.00,0
HI,0.0790,36000.00,48000.00,0
HI,0.0825,48000.00,-1.00,0
ID,0.0160,0.00,1452.00,0
ID,0.0360,1452.00,2940.00,0
ID,0.0410,2940.00,4356.00,0
ID,0.0510,4356.00,5808.00,0
ID,0.0610,5808.00,7260.00,0
ID,0.0710,7260.00,10890.00,0
ID,0.0740,10890.00,-1.00,0
IL,0.0375,0.00,-1.00,1
IN,0.0330,0.00,-1.00,1
IA,0.0036,0.00,1554.00,0
IA,0.0072,1554.00,3108.00,0
IA,0.0243,3108.00,6216.00,0
IA,0.0450,6216.00,13896.00,0
